corner_id,m,n,dm,dn
7275,2,5,1,3
7276,3,2,1,1
7277,8,3,5,2
7277,5,6,6,8
7277,2,9,3,18
7277,4,21,3,18
7295,2,7,1,4
7296,3,7,2,5
7298,3,5,4,7
7299,2,3,5,8
7310,2,13,1,7
7389,2,13,1,7
7401,2,7,1,4
7402,3,7,2,5
7404,3,5,4,7
7405,2,3,5,8
7450,2,13,1,7
7462,2,7,1,4
7463,3,7,2,5
7465,3,5,4,7
7466,2,3,5,8
7490,2,5,1,3
7491,3,2,1,1
7492,8,3,5,2
7492,5,6,6,8
7492,2,9,3,18
7492,4,21,3,18
7515,2,7,1,4
7516,3,7,2,5
7575,2,3,1,2
7576,7,4,5,3
7576,2,5,1,3
7611,2,7,1,4
7612,3,7,2,5
7628,2,7,1,4
7629,3,7,2,5
7631,3,5,4,7
7632,2,3,5,8
7637,2,5,1,3
7638,3,2,1,1
7639,8,3,5,2
7639,5,6,6,8
7639,2,9,3,18
7639,4,21,3,18
7651,2,13,1,7
7728,2,13,1,7
7740,2,7,1,4
7741,3,7,2,5
7743,3,5,4,7
7744,2,3,5,8
7789,2,5,1,3
7790,3,2,1,1
7791,8,3,5,2
7791,5,6,6,8
7791,2,9,3,18
7791,4,21,3,18
7805,2,7,1,4
7806,3,7,2,5
7816,2,3,1,2
7817,7,4,5,3
7817,2,5,1,3
7856,2,13,1,7
7868,2,7,1,4
7869,3,7,2,5
7871,3,5,4,7
7872,2,3,5,8
7937,2,13,1,7
7949,2,7,1,4
7950,3,7,2,5
7952,3,5,4,7
7953,2,3,5,8
8026,2,13,1,7
8038,2,7,1,4
8039,3,7,2,5
8041,3,5,4,7
8042,2,3,5,8
8093,2,5,1,3
8094,3,2,1,1
8095,8,3,5,2
8095,5,6,6,8
8095,2,9,3,18
8095,4,21,3,18
8109,2,7,1,4
8110,3,7,2,5
8120,2,3,1,2
8121,7,4,5,3
8121,2,5,1,3
8131,3,4,2,3
8133,5,4,6,5
8133,3,28,2,20
8134,2,11,1,6
8135,3,2,10,7
8135,7,32,6,28
8147,3,4,2,3
8157,2,3,1,2
8158,2,3,1,2
8160,9,2,4,1
8160,7,4,6,4
8160,5,6,6,9
8160,7,9,6,9
8160,3,8,4,16
8160,5,16,4,16
8161,4,3,5,4
8161,3,22,2,16
8163,5,2,2,1
8163,3,4,2,4
8165,7,2,10,3
8165,5,4,14,12
8165,7,15,12,27
8165,11,24,12,27
8165,3,32,4,48
8165,5,56,4,48
8167,5,2,2,1
8167,3,4,2,4
8168,9,2,4,1
8168,7,4,6,4
8168,5,6,6,9
8168,7,9,6,9
8168,3,8,4,16
8168,5,16,4,16
8169,13,2,6,1
8169,11,4,10,4
8169,5,3,12,9
8169,13,9,12,9
8169,7,8,12,16
8169,13,16,12,16
8169,3,5,10,25
8169,7,15,10,25
8169,9,20,10,25
8169,11,25,10,25
8169,5,24,6,36
8169,7,36,6,36
8180,2,7,1,4
8181,3,7,2,5
8198,5,3,3,2
8198,3,10,2,8
8199,2,5,1,3
8200,19,5,15,4
8200,3,2,22,16
8200,2,3,21,36
8200,16,27,21,36
8200,7,36,12,64
8200,13,68,12,64
8201,7,2,3,1
8201,3,2,1,1
8201,2,3,3,9
8201,4,9,3,9
8202,8,3,5,2
8202,5,6,6,8
8202,2,9,3,18
8202,4,21,3,18
8203,3,2,1,1
8204,3,2,1,1
8205,8,3,5,2
8205,5,6,6,8
8205,2,9,3,18
8205,4,21,3,18
8206,15,2,7,1
8206,7,2,3,1
8206,11,6,15,9
8206,16,9,15,9
8206,3,2,1,1
8206,4,5,15,25
8206,7,10,15,25
8206,13,20,15,25
8206,16,25,15,25
8206,2,3,3,9
8206,4,9,3,9
8206,2,7,7,49
8206,3,14,7,49
8206,4,21,7,49
8206,5,28,7,49
8206,6,35,7,49
8206,8,49,7,49
8207,19,2,9,1
8207,9,2,4,1
8207,8,3,21,9
8207,22,9,21,9
8207,7,4,6,4
8207,3,2,1,1
8207,5,6,6,9
8207,7,9,6,9
8207,4,7,21,49
8207,10,21,21,49
8207,13,28,21,49
8207,16,35,21,49
8207,19,42,21,49
8207,22,49,21,49
8207,3,8,4,16
8207,5,16,4,16
8207,2,9,9,81
8207,4,27,9,81
8207,5,36,9,81
8207,7,54,9,81
8207,8,63,9,81
8207,10,81,9,81
8912,2,13,1,7
8929,2,7,1,4
8930,3,7,2,5
8994,11,4,8,3
8994,7,8,10,12
8994,5,21,6,27
8994,7,30,6,27
8996,5,2,2,1
8996,3,4,2,4
9098,11,4,8,3
9098,7,8,10,12
9098,5,21,6,27
9098,7,30,6,27
9133,5,2,2,1
9133,3,4,2,4
9142,2,7,1,4
9143,3,7,2,5
9338,11,4,8,3
9338,7,8,10,12
9338,5,21,6,27
9338,7,30,6,27
9450,11,4,8,3
9450,7,8,10,12
9450,5,21,6,27
9450,7,30,6,27
9503,2,13,1,7
9520,2,7,1,4
9521,3,7,2,5
9553,5,2,2,1
9553,3,4,2,4
9677,11,4,8,3
9677,7,8,10,12
9677,5,21,6,27
9677,7,30,6,27
9826,11,4,8,3
9826,7,8,10,12
9826,5,21,6,27
9826,7,30,6,27
9882,2,13,1,7
9899,2,7,1,4
9900,3,7,2,5
9932,5,2,2,1
9932,3,4,2,4
10009,2,11,1,6
10010,8,5,11,7
10010,3,10,2,7
10011,2,5,3,8
10016,4,5,3,4
10017,2,5,1,3
10019,2,5,1,3
10020,4,5,3,4
10021,2,5,1,3
10022,4,5,3,4
10024,3,2,1,1
10025,2,3,1,2
10027,11,2,5,1
10027,5,2,2,1
10027,3,2,1,1
10027,3,4,2,4
10027,2,5,5,25
10027,3,10,5,25
10027,4,15,5,25
10027,6,25,5,25
10028,4,5,3,4
10029,3,2,4,3
10029,3,16,2,12
10030,4,3,5,4
10030,3,22,2,16
10032,5,2,2,1
10032,3,4,2,4
10034,7,2,10,3
10034,5,4,14,12
10034,7,15,12,27
10034,11,24,12,27
10034,3,32,4,48
10034,5,56,4,48
10035,5,4,6,5
10035,3,28,2,20
10036,7,4,12,7
10036,3,8,10,28
10038,5,3,8,5
10038,5,16,6,20
10039,2,7,1,4
10040,3,2,4,3
10040,3,16,2,12
10044,3,2,4,3
10044,3,16,2,12
10045,2,7,1,4
10046,5,3,8,5
10046,5,16,6,20
10048,7,4,12,7
10048,3,8,10,28
10052,13,2,6,1
10052,11,4,10,4
10052,5,3,12,9
10052,13,9,12,9
10052,7,8,12,16
10052,13,16,12,16
10052,3,5,10,25
10052,7,15,10,25
10052,9,20,10,25
10052,11,25,10,25
10052,5,24,6,36
10052,7,36,6,36
10053,3,2,1,1
10054,5,3,3,2
10054,3,10,2,8
10055,5,2,2,1
10055,3,4,2,4
10056,5,2,2,1
10056,3,4,2,4
10057,3,2,1,1
10058,5,3,3,2
10058,3,10,2,8
10207,2,11,1,6
10208,4,9,3,7
10209,2,3,5,8
10647,2,17,1,9
10701,2,13,1,7
10715,2,7,1,4
10717,2,11,1,6
10718,2,5,3,8
10720,2,7,1,4
10723,3,2,4,3
10723,3,16,2,12
10724,2,7,1,4
10725,5,3,8,5
10725,5,16,6,20
10732,5,2,2,1
10732,3,4,2,4
10770,2,7,1,4
10771,3,7,2,5
10773,3,5,4,7
10774,2,3,5,8
10776,5,7,7,10
10777,3,4,8,11
10778,2,5,1,3
10779,3,2,1,1
10780,8,3,5,2
10780,5,6,6,8
10780,2,9,3,18
10780,4,21,3,18
10782,2,3,3,5
10805,2,7,1,4
10806,3,7,2,5
10808,3,5,4,7
10809,2,3,5,8
10811,5,7,7,10
10812,3,4,8,11
10856,2,13,1,7
10905,2,7,1,4
10907,2,11,1,6
10908,2,5,3,8
10910,2,7,1,4
10913,3,2,4,3
10913,3,16,2,12
10914,2,7,1,4
10915,5,3,8,5
10915,5,16,6,20
10927,2,17,1,9
11251,2,17,1,9
11273,2,13,1,7
11436,2,7,1,4
11438,2,11,1,6
11439,2,5,3,8
11441,2,7,1,4
11444,3,2,4,3
11444,3,16,2,12
11445,2,7,1,4
11446,5,3,8,5
11446,5,16,6,20
11560,2,17,1,9
11582,2,13,1,7
11617,2,7,1,4
11618,3,7,2,5
11620,3,5,4,7
11621,2,3,5,8
11623,5,7,7,10
11624,3,4,8,11
11727,2,17,1,9
11749,2,13,1,7
11784,2,7,1,4
11785,3,7,2,5
11787,3,5,4,7
11788,2,3,5,8
11790,5,7,7,10
11791,3,4,8,11
11910,2,17,1,9
11932,2,13,1,7
11967,2,7,1,4
11968,3,7,2,5
11970,3,5,4,7
11971,2,3,5,8
11973,5,7,7,10
11974,3,4,8,11
12117,2,7,1,4
